Date,Open,High,Low,Close,Adj Close,Volume
2023-07-07,565.0,572.0,563.0,565.0,561.866943359375,18796190
2023-07-10,567.0,573.0,565.0,565.0,561.866943359375,18454982
2023-07-11,574.0,577.0,570.0,577.0,573.8004150390625,17850636
2023-07-12,574.0,578.0,572.0,578.0,574.7948608398438,15588228
2023-07-13,587.0,590.0,585.0,585.0,581.7560424804688,25442137
2023-07-14,589.0,591.0,587.0,591.0,587.7227783203125,23121873
2023-07-17,588.0,591.0,587.0,591.0,587.7227783203125,13807834
2023-07-18,587.0,588.0,580.0,581.0,577.7781982421875,20932006
2023-07-19,584.0,587.0,579.0,581.0,577.7781982421875,22499123
2023-07-20,580.0,584.0,578.0,579.0,575.789306640625,15108109
2023-07-21,560.0,563.0,557.0,560.0,556.8946533203125,46711021
2023-07-24,557.0,563.0,557.0,558.0,554.90576171875,25268835
2023-07-25,561.0,569.0,561.0,569.0,565.8447265625,19590349
2023-07-26,569.0,571.0,563.0,566.0,562.8613891601562,13314305
2023-07-27,570.0,570.0,566.0,569.0,565.8447265625,12200358
2023-07-28,569.0,573.0,565.0,567.0,563.8558349609375,18540078
2023-07-31,575.0,575.0,560.0,565.0,561.866943359375,24208467
